,weight
NVDA,0.001557373184363927
AAPL,0.0019745058464146954
MSFT,0.0
AMZN,0.0012305325548451875
GOOGL,0.0014565761599279932
AVGO,0.0010240992230126332
GOOG,0.0014614141399968102
META,0.0
TSLA,0.0007581958484697221
JPM,0.0012658339588868673
LLY,0.0021184001614366413
V,0.0
XOM,0.0020763908234515214
JNJ,0.006001538248248606
WMT,0.007242678147274568
MA,0.0
PLTR,0.000927309594295311
ABBV,0.0033040652088392615
NFLX,0.0
COST,0.0
BAC,0.0012205499656663444
AMD,0.0006807977526530521
HD,0.001315949622991491
PG,0.0
ORCL,0.0
GE,0.0016141181702114965
MU,0.000513201545242956
CSCO,0.0019911098123814278
UNH,0.0
WFC,0.0010317363619982178
CVX,0.002018179262410527
IBM,0.0013822610860195512
KO,0.007551688677160109
CAT,0.0007483560355281996
GS,0.0008822301044387385
MRK,0.0012345890834040286
CRM,0.0
PM,0.006041855068365839
RTX,0.0014157781906339558
ABT,0.0
TMO,0.0008384539366092572
MCD,0.006849537362693168
LRCX,0.0005364214824480014
MS,0.00095887116470631
C,0.0009856914907965667
AMAT,0.0006451298347531586
DIS,0.0
ISRG,0.0
LIN,0.0
AXP,0.0008469557472051154
PEP,0.005761103146911834
INTU,0.0
QCOM,0.0
APP,0.0014774008023941
GEV,0.0008568348337710783
AMGN,0.0014593871231228196
T,0.0
BKNG,0.0
VZ,0.0
TJX,0.0037990944226114396
BA,0.0013872205690858895
UBER,0.0
NEE,0.005831732766686729
SCHW,0.0016359647655460983
ACN,0.0
INTC,0.0006014035267719502
APH,0.0010282765628403297
SPGI,0.0
KLAC,0.0006272087012688061
NOW,0.0
TXN,0.0
BLK,0.0008258940907370739
COF,0.0
GILD,0.002109181761518254
ADBE,0.0
DHR,0.0009668153837240706
PFE,0.001162876173333256
BSX,0.0
UNP,0.0
ANET,0.0010711766934026253
LOW,0.0011308437228891837
PGR,0.0
ADI,0.000803186856992274
WELL,0.005197814292650902
PANW,0.0
HON,0.0
ETN,0.0
MDT,0.001974493864781425
SYK,0.0
PLD,0.004922981717135246
CRWD,0.0
